TSI;Sensirion;RMSE;MAE
111.4;-108.2;95.30234126499015;56.589555569345336
111.51;-108.0857;95.30234126499015;56.589555569345336
112.09;-108.3714;95.30234126499015;56.589555569345336
111.86;-108.5429;95.30234126499015;56.589555569345336
111.05;-109.4;95.30234126499015;56.589555569345336
111.91;-108.3714;95.30234126499015;56.589555569345336
112.96;-109.2;95.30234126499015;56.589555569345336
112.94;-110.0;95.30234126499015;56.589555569345336
113.3;-110.4;95.30234126499015;56.589555569345336
113.64;-110.0286;95.30234126499015;56.589555569345336
114.06;-110.5429;95.30234126499015;56.589555569345336
113.75;-110.3143;95.30234126499015;56.589555569345336
114.58;-111.2;95.30234126499015;56.589555569345336
114.45;-110.1714;95.30234126499015;56.589555569345336
114.99;-110.4;95.30234126499015;56.589555569345336
114.94;-110.8571;95.30234126499015;56.589555569345336
114.78;-111.0286;95.30234126499015;56.589555569345336
115.56;-112.2571;95.30234126499015;56.589555569345336
115.44;-111.8571;95.30234126499015;56.589555569345336
116.33;-112.5143;95.30234126499015;56.589555569345336
116.68;-112.4571;95.30234126499015;56.589555569345336
116.56;-112.8571;95.30234126499015;56.589555569345336
116.48;-112.8857;95.30234126499015;56.589555569345336
116.64;-112.9429;95.30234126499015;56.589555569345336
116.98;-114.4286;95.30234126499015;56.589555569345336
117.66;-113.2286;95.30234126499015;56.589555569345336
117.25;-113.6286;95.30234126499015;56.589555569345336
116.56;-115.0286;95.30234126499015;56.589555569345336
117.11;-112.9143;95.30234126499015;56.589555569345336
117.27;-113.4286;95.30234126499015;56.589555569345336
117.92;-113.2571;95.30234126499015;56.589555569345336
118.13;-114.3714;95.30234126499015;56.589555569345336
118.03;-114.9143;95.30234126499015;56.589555569345336
117.92;-116.4857;95.30234126499015;56.589555569345336
118.97;-114.8857;95.30234126499015;56.589555569345336
119.49;-115.0857;95.30234126499015;56.589555569345336
118.96;-116.4857;95.30234126499015;56.589555569345336
119.39;-116.0857;95.30234126499015;56.589555569345336
120.45;-115.9714;95.30234126499015;56.589555569345336
120.85;-115.2;95.30234126499015;56.589555569345336
119.65;-115.7714;95.30234126499015;56.589555569345336
118.93;-116.4;95.30234126499015;56.589555569345336
119.29;-116.3714;95.30234126499015;56.589555569345336
119.41;-116.5429;95.30234126499015;56.589555569345336
119.27;-117.0;95.30234126499015;56.589555569345336
120.2;-117.4286;95.30234126499015;56.589555569345336
121.24;-116.9714;95.30234126499015;56.589555569345336
121.46;-116.4286;95.30234126499015;56.589555569345336
121.2;-116.1714;95.30234126499015;56.589555569345336
120.39;-117.1714;95.30234126499015;56.589555569345336
120.86;-118.1143;95.30234126499015;56.589555569345336
121.5;-118.6;95.30234126499015;56.589555569345336
122.04;-118.5429;95.30234126499015;56.589555569345336
122.58;-117.8286;95.30234126499015;56.589555569345336
122.72;-117.3714;95.30234126499015;56.589555569345336
122.33;-119.2857;95.30234126499015;56.589555569345336
121.8;-118.4857;95.30234126499015;56.589555569345336
122.47;-119.2286;95.30234126499015;56.589555569345336
122.07;-119.8571;95.30234126499015;56.589555569345336
122.97;-118.7143;95.30234126499015;56.589555569345336
123.44;-119.5429;95.30234126499015;56.589555569345336
123.63;-119.9429;95.30234126499015;56.589555569345336
123.68;-121.1143;95.30234126499015;56.589555569345336
